,candidate,candidate_male,county,district,office,pro_gun_control,vote_share,year,candidate_hispanic,prog_min_wage,incumbent
585,Marco Montoya,1,BELL,25,house,,0.66394148,2014,1,1,0
586,Marco Montoya,1,BOSQUE,25,house,,0.164134389,2014,1,1,0
587,Marco Montoya,1,BURNET,25,house,,0.189298958,2014,1,1,0
588,Marco Montoya,1,CORYELL,25,house,,0.230094872,2014,1,1,0
589,Marco Montoya,1,ERATH,25,house,,0.145753747,2014,1,1,0
590,Marco Montoya,1,HAMILTON,25,house,,0.167032004,2014,1,1,0
591,Marco Montoya,1,HAYS,25,house,,0.353846154,2014,1,1,0
592,Marco Montoya,1,HILL,25,house,,0.18573759,2014,1,1,0
593,Marco Montoya,1,JOHNSON,25,house,,0.172679683,2014,1,1,0
594,Marco Montoya,1,LAMPASAS,25,house,,0.167115298,2014,1,1,0
595,Marco Montoya,1,SOMERVELL,25,house,,0.142790698,2014,1,1,0
596,Marco Montoya,1,TARRANT,25,house,,0.229595222,2014,1,1,0
597,Marco Montoya,1,TRAVIS,25,house,,0.554806665,2014,1,1,0
323,Mark Gibson,1,BRAZORIA,22,house,1,0.394502464,2016,0,1,0
324,Mark Gibson,1,FORT BEND,22,house,1,0.401447906,2016,0,1,0
325,Mark Gibson,1,HARRIS,22,house,1,0.445083127,2016,0,1,0
482,Mark Greene,1,PARKER,12,house,1,0.133329018,2014,0,1,0
483,Mark Greene,1,TARRANT,12,house,1,0.309400667,2014,0,1,0
484,Mark Greene,1,WISE,12,house,1,0.139252122,2014,0,1,0
288,Michael Cole,1,BRAZORIA,14,house,0,0.387108685,2016,0,1,0
289,Michael Cole,1,GALVESTON,14,house,0,0.537592362,2016,0,1,0
290,Michael Cole,1,JEFFERSON,14,house,0,0.956403022,2016,0,1,0
622,Michael K. Cole,1,CHAMBERS,36,house,0,0.158022592,2014,0,0,0
623,Michael K. Cole,1,HARDIN,36,house,0,0.120787013,2014,0,0,0
624,Michael K. Cole,1,HARRIS,36,house,0,0.275833018,2014,0,0,0
625,Michael K. Cole,1,JASPER,36,house,0,0.198226545,2014,0,0,0
626,Michael K. Cole,1,LIBERTY,36,house,0,0.196071959,2014,0,0,0
627,Michael K. Cole,1,NEWTON,36,house,0,0.25506937,2014,0,0,0
628,Michael K. Cole,1,ORANGE,36,house,0,0.215096582,2014,0,0,0
629,Michael K. Cole,1,POLK,36,house,0,0.193248193,2014,0,0,0
630,Michael K. Cole,1,TYLER,36,house,0,0.168466523,2014,0,0,0
428,Mike Clark,1,BELL,31,house,1,0.352228051,2016,0,1,0
429,Mike Clark,1,WILLIAMSON,31,house,1,0.398998695,2016,0,1,0
430,Mike Clark,1,BELL,31,house,1,0.352228051,2014,0,1,0
431,Mike Clark,1,WILLIAMSON,31,house,1,0.398998695,2014,0,1,0
485,Mike Minter,1,ARCHER,13,house,,0.096333853,2014,0,,0
486,Mike Minter,1,ARMSTRONG,13,house,,0.078899083,2014,0,,0
487,Mike Minter,1,BAYLOR,13,house,,0.138480392,2014,0,,0
488,Mike Minter,1,BRISCOE,13,house,,0.115768463,2014,0,,0
489,Mike Minter,1,CARSON,13,house,,0.091161757,2014,0,,0
490,Mike Minter,1,CHILDRESS,13,house,,0.105164319,2014,0,,0
491,Mike Minter,1,CLAY,13,house,,0.11420205,2014,0,,0
492,Mike Minter,1,COLLINGSWORTH,13,house,,0.108614232,2014,0,,0
493,Mike Minter,1,COOKE,13,house,,0.117225162,2014,0,,0
494,Mike Minter,1,COTTLE,13,house,,0.12173913,2014,0,,0
495,Mike Minter,1,DALLAM,13,house,,0.103067485,2014,0,,0
496,Mike Minter,1,DEAF SMITH,13,house,,0.152362949,2014,0,,0
497,Mike Minter,1,DICKENS,13,house,,0.103792415,2014,0,,0
498,Mike Minter,1,DONLEY,13,house,,0.101433297,2014,0,,0
499,Mike Minter,1,FLOYD,13,house,,0.081858407,2014,0,,0
500,Mike Minter,1,FOARD,13,house,,0.28852459,2014,0,,0
501,Mike Minter,1,GRAY,13,house,,0.065368567,2014,0,,0
502,Mike Minter,1,HALL,13,house,,0.127622378,2014,0,,0
503,Mike Minter,1,HANSFORD,13,house,,0.031896552,2014,0,,0
504,Mike Minter,1,HARDEMAN,13,house,,0.165898618,2014,0,,0
505,Mike Minter,1,HARTLEY,13,house,,0.080956762,2014,0,,0
506,Mike Minter,1,HEMPHILL,13,house,,0.079345088,2014,0,,0
507,Mike Minter,1,HUTCHINSON,13,house,,0.084099265,2014,0,,0
508,Mike Minter,1,JACK,13,house,,0.112543962,2014,0,,0
509,Mike Minter,1,KING,13,house,,0.011235955,2014,0,,0
510,Mike Minter,1,KNOX,13,house,,0.163972286,2014,0,,0
511,Mike Minter,1,LIPSCOMB,13,house,,0.076372315,2014,0,,0
512,Mike Minter,1,MONTAGUE,13,house,,0.108452217,2014,0,,0
513,Mike Minter,1,MOORE,13,house,,0.091381872,2014,0,,0
514,Mike Minter,1,MOTLEY,13,house,,0.035911602,2014,0,,0
515,Mike Minter,1,OCHILTREE,13,house,,0.035828535,2014,0,,0
516,Mike Minter,1,OLDHAM,13,house,,0.043399638,2014,0,,0
517,Mike Minter,1,POTTER,13,house,,0.184316405,2014,0,,0
518,Mike Minter,1,RANDALL,13,house,,0.106675007,2014,0,,0
519,Mike Minter,1,ROBERTS,13,house,,0.034985423,2014,0,,0
520,Mike Minter,1,SHERMAN,13,house,,0.063356164,2014,0,,0
521,Mike Minter,1,SWISHER,13,house,,0.196519217,2014,0,,0
522,Mike Minter,1,WHEELER,13,house,,0.074615385,2014,0,,0
523,Mike Minter,1,WICHITA,13,house,,0.203464046,2014,0,,0
524,Mike Minter,1,WILBARGER,13,house,,0.17247844,2014,0,,0
525,Mike Minter,1,WISE,13,house,,0.139905019,2014,0,,0
550,Neal Marchbanks,1,BAILEY,19,house,,0.13753878,2014,0,1,0
551,Neal Marchbanks,1,BORDEN,19,house,,0.053278689,2014,0,1,0
552,Neal Marchbanks,1,CASTRO,19,house,,0.178280543,2014,0,1,0
553,Neal Marchbanks,1,COCHRAN,19,house,,0.141304348,2014,0,1,0
554,Neal Marchbanks,1,CROSBY,19,house,,0.232264334,2014,0,1,0
555,Neal Marchbanks,1,FISHER,19,house,,0.329059829,2014,0,1,0
556,Neal Marchbanks,1,FLOYD,19,house,,0.133768352,2014,0,1,0
557,Neal Marchbanks,1,GAINES,19,house,,0.099709182,2014,0,1,0
558,Neal Marchbanks,1,GARZA,19,house,,0.105660377,2014,0,1,0
559,Neal Marchbanks,1,HALE,19,house,,0.134032912,2014,0,1,0
560,Neal Marchbanks,1,HASKELL,19,house,,0.260058881,2014,0,1,0
561,Neal Marchbanks,1,HOCKLEY,19,house,,0.13427762,2014,0,1,0
562,Neal Marchbanks,1,HOWARD,19,house,,0.15246419,2014,0,1,0
563,Neal Marchbanks,1,JONES,19,house,,0.181465935,2014,0,1,0
564,Neal Marchbanks,1,KENT,19,house,,0.22,2014,0,1,0
565,Neal Marchbanks,1,LAMB,19,house,,0.147058824,2014,0,1,0
566,Neal Marchbanks,1,LUBBOCK,19,house,,0.242396834,2014,0,1,0
567,Neal Marchbanks,1,LYNN,19,house,,0.188811189,2014,0,1,0
568,Neal Marchbanks,1,NOLAN,19,house,,0.199272433,2014,0,1,0
569,Neal Marchbanks,1,PARMER,19,house,,0.097953216,2014,0,1,0
570,Neal Marchbanks,1,SCURRY,19,house,,0.111754069,2014,0,1,0
571,Neal Marchbanks,1,SHACKELFORD,19,house,,0.077821012,2014,0,1,0
572,Neal Marchbanks,1,STEPHENS,19,house,,0.075704225,2014,0,1,0
573,Neal Marchbanks,1,STONEWALL,19,house,,0.243093923,2014,0,1,0
574,Neal Marchbanks,1,TAYLOR,19,house,,0.182352941,2014,0,1,0
575,Neal Marchbanks,1,TERRY,19,house,,0.173260573,2014,0,1,0
576,Neal Marchbanks,1,THROCKMORTON,19,house,,0.112403101,2014,0,1,0
577,Neal Marchbanks,1,YOAKUM,19,house,,0.101725704,2014,0,1,0
578,Neal Marchbanks,1,YOUNG,19,house,,0.10769532,2014,0,1,0
538,Nick Haynes,1,BASTROP,17,house,,0.333333333,2014,0,1,0
539,Nick Haynes,1,BRAZOS,17,house,,0.258307561,2014,0,1,0
540,Nick Haynes,1,BURLESON,17,house,,0.214583845,2014,0,1,0
541,Nick Haynes,1,FALLS,17,house,,0.27802385,2014,0,1,0
542,Nick Haynes,1,FREESTONE,17,house,,0.196307548,2014,0,1,0
543,Nick Haynes,1,LEE,17,house,,0.247958426,2014,0,1,0
544,Nick Haynes,1,LEON,17,house,,0.105113636,2014,0,1,0
545,Nick Haynes,1,LIMESTONE,17,house,,0.220511606,2014,0,1,0
546,Nick Haynes,1,MCLENNAN,17,house,,0.279814385,2014,0,1,0
547,Nick Haynes,1,MILAM,17,house,,0.247838009,2014,0,1,0
548,Nick Haynes,1,ROBERTSON,17,house,,0.337291205,2014,0,1,0
549,Nick Haynes,1,TRAVIS,17,house,,0.612427155,2014,0,1,0
469,Niko Lestos,1,HARRIS,2,house,,0.303706335,2014,0,1,0
266,Pat Bryan,1,HARRIS,2,house,1,0.594165698,2016,0,1,0
582,Patrick McGehearty,1,DALLAS,24,house,,0.389682736,2014,0,1,0
583,Patrick McGehearty,1,DENTON,24,house,,0.350435949,2014,0,1,0
584,Patrick McGehearty,1,TARRANT,24,house,,0.273679185,2014,0,1,0
326,Pete P. Gallego,1,BEXAR,23,house,0,0.433159673,2016,1,1,0
327,Pete P. Gallego,1,BREWSTER,23,house,0,0.539423077,2016,1,1,0
328,Pete P. Gallego,1,CRANE,23,house,0,0.238385377,2016,1,1,0
329,Pete P. Gallego,1,CROCKETT,23,house,0,0.345549738,2016,1,1,0
330,Pete P. Gallego,1,CULBERSON,23,house,0,0.663394109,2016,1,1,0
331,Pete P. Gallego,1,DIMMIT,23,house,0,0.685964322,2016,1,1,0
332,Pete P. Gallego,1,EDWARDS,23,house,0,0.297325103,2016,1,1,0
333,Pete P. Gallego,1,EL PASO,23,house,0,0.842229713,2016,1,1,0
334,Pete P. Gallego,1,FRIO,23,house,0,0.564981504,2016,1,1,0
335,Pete P. Gallego,1,HUDSPETH,23,house,0,0.462893082,2016,1,1,0
336,Pete P. Gallego,1,JEFF DAVIS,23,house,0,0.446771379,2016,1,1,0
337,Pete P. Gallego,1,KINNEY,23,house,0,0.337234821,2016,1,1,0
338,Pete P. Gallego,1,LASALLE,23,house,0,0.599257885,2016,1,1,0
339,Pete P. Gallego,1,LOVING,23,house,0,0.142857143,2016,1,1,0
340,Pete P. Gallego,1,MAVERICK,23,house,0,0.777952756,2016,1,1,0
341,Pete P. Gallego,1,MEDINA,23,house,0,0.260097514,2016,1,1,0
342,Pete P. Gallego,1,PECOS,23,house,0,0.436151748,2016,1,1,0
343,Pete P. Gallego,1,PRESIDIO,23,house,0,0.701492537,2016,1,1,0
344,Pete P. Gallego,1,REAGAN,23,house,0,0.206385405,2016,1,1,0
345,Pete P. Gallego,1,REEVES,23,house,0,0.598165761,2016,1,1,0
346,Pete P. Gallego,1,SCHLEICHER,23,house,0,0.217305801,2016,1,1,0
347,Pete P. Gallego,1,SUTTON,23,house,0,0.231277533,2016,1,1,0
348,Pete P. Gallego,1,TERRELL,23,house,0,0.442352941,2016,1,1,0
349,Pete P. Gallego,1,UPTON,23,house,0,0.250612245,2016,1,1,0
350,Pete P. Gallego,1,UVALDE,23,house,0,0.446975006,2016,1,1,0
351,Pete P. Gallego,1,VAL VERDE,23,house,0,0.546608549,2016,1,1,0
352,Pete P. Gallego,1,WARD,23,house,0,0.262012693,2016,1,1,0
353,Pete P. Gallego,1,WINKLER,23,house,0,0.220254566,2016,1,1,0
354,Pete P. Gallego,1,ZAVALA,23,house,0,0.800194301,2016,1,1,0
355,Pete P. Gallego,1,BEXAR,23,house,0,0.413566172,2014,1,1,0
356,Pete P. Gallego,1,BREWSTER,23,house,0,0.598124349,2014,1,1,0
357,Pete P. Gallego,1,CRANE,23,house,0,0.258895706,2014,1,1,0
358,Pete P. Gallego,1,CROCKETT,23,house,0,0.407090465,2014,1,1,0
359,Pete P. Gallego,1,CULBERSON,23,house,0,0.638629283,2014,1,1,0
360,Pete P. Gallego,1,DIMMIT,23,house,0,0.745706371,2014,1,1,0
361,Pete P. Gallego,1,EDWARDS,23,house,0,0.383507853,2014,1,1,0
362,Pete P. Gallego,1,EL PASO,23,house,0,0.817802296,2014,1,1,0
363,Pete P. Gallego,1,FRIO,23,house,0,0.565752658,2014,1,1,0
364,Pete P. Gallego,1,HUDSPETH,23,house,0,0.523809524,2014,1,1,0
365,Pete P. Gallego,1,JEFF DAVIS,23,house,0,0.597073171,2014,1,1,0
366,Pete P. Gallego,1,KINNEY,23,house,0,0.479390681,2014,1,1,0
367,Pete P. Gallego,1,LASALLE,23,house,0,0.574555404,2014,1,1,0
368,Pete P. Gallego,1,LOVING,23,house,0,0.25,2014,1,1,0
369,Pete P. Gallego,1,MAVERICK,23,house,0,0.815242494,2014,1,1,0
370,Pete P. Gallego,1,MEDINA,23,house,0,0.288963421,2014,1,1,0
371,Pete P. Gallego,1,PECOS,23,house,0,0.582809917,2014,1,1,0
372,Pete P. Gallego,1,PRESIDIO,23,house,0,0.795740561,2014,1,1,0
373,Pete P. Gallego,1,REAGAN,23,house,0,0.313402062,2014,1,1,0
374,Pete P. Gallego,1,REEVES,23,house,0,0.671085336,2014,1,1,0
375,Pete P. Gallego,1,SCHLEICHER,23,house,0,0.377990431,2014,1,1,0
376,Pete P. Gallego,1,SUTTON,23,house,0,0.214774282,2014,1,1,0
377,Pete P. Gallego,1,TERRELL,23,house,0,0.585,2014,1,1,0
378,Pete P. Gallego,1,UPTON,23,house,0,0.406542056,2014,1,1,0
379,Pete P. Gallego,1,UVALDE,23,house,0,0.471701913,2014,1,1,0
380,Pete P. Gallego,1,VAL VERDE,23,house,0,0.618911175,2014,1,1,0
381,Pete P. Gallego,1,WARD,23,house,0,0.391012397,2014,1,1,0
382,Pete P. Gallego,1,WINKLER,23,house,0,0.270724029,2014,1,1,0
383,Pete P. Gallego,1,ZAVALA,23,house,0,0.808629088,2014,1,1,0
403,Raul (Roy) Barrera,1,ARANSAS,27,house,,0.243979965,2016,1,1,0
404,Raul (Roy) Barrera,1,BASTROP,27,house,,0.383187483,2016,1,1,0
405,Raul (Roy) Barrera,1,CALDWELL,27,house,,0.356547713,2016,1,1,0
406,Raul (Roy) Barrera,1,CALHOUN,27,house,,0.316896194,2016,1,1,0
407,Raul (Roy) Barrera,1,GONZALES,27,house,,0.267676768,2016,1,1,0
408,Raul (Roy) Barrera,1,JACKSON,27,house,,0.173197492,2016,1,1,0
409,Raul (Roy) Barrera,1,LAVACA,27,house,,0.141372387,2016,1,1,0
410,Raul (Roy) Barrera,1,MATAGORDA,27,house,,0.305126464,2016,1,1,0
411,Raul (Roy) Barrera,1,NUECES,27,house,,0.496269958,2016,1,1,0
412,Raul (Roy) Barrera,1,REFUGIO,27,house,,0.367079646,2016,1,1,0
413,Raul (Roy) Barrera,1,SAN PATRICIO,27,house,,0.314351547,2016,1,1,0
414,Raul (Roy) Barrera,1,VICTORIA,27,house,,0.295441109,2016,1,1,0
415,Raul (Roy) Barrera,1,WHARTON,27,house,,0.290649983,2016,1,1,0
529,Ruben Hinojosa,1,BROOKS,15,house,1,0.800197824,2014,1,1,0
530,Ruben Hinojosa,1,DUVAL,15,house,1,0.820635463,2014,1,1,0
531,Ruben Hinojosa,1,GUADALUPE,15,house,1,0.279490359,2014,1,1,0
532,Ruben Hinojosa,1,HIDALGO,15,house,1,0.681247881,2014,1,1,0
533,Ruben Hinojosa,1,JIM HOGG,15,house,1,0.803443329,2014,1,1,0
534,Ruben Hinojosa,1,KARNES,15,house,1,0.355773328,2014,1,1,0
535,Ruben Hinojosa,1,LIVE OAK,15,house,1,0.185452999,2014,1,1,0
536,Ruben Hinojosa,1,WILSON,15,house,1,0.173817382,2014,1,1,0
268,Ruby Faye Woolridge,0,ELLIS,6,house,1,0.318387877,2016,1,1,0
269,Ruby Faye Woolridge,0,NAVARRO,6,house,1,0.309284398,2016,1,1,0
270,Ruby Faye Woolridge,0,TARRANT,6,house,1,0.871928923,2016,1,1,0
311,Sheila Jackson Lee,0,HARRIS,18,house,1,0.4236159,2016,0,1,1
312,Sheila Jackson Lee,0,HARRIS,18,house,1,0.74352686,2014,0,1,1
457,Shirley McKellar,0,ANGELINA,1,house,1,0.216688694,2014,0,1,0
458,Shirley McKellar,0,GREGG,1,house,1,0.250467778,2014,0,1,0
459,Shirley McKellar,0,HARRISON,1,house,1,0.274186908,2014,0,1,0
460,Shirley McKellar,0,NACOGDOCHES,1,house,1,0.242334154,2014,0,1,0
461,Shirley McKellar,0,PANOLA,1,house,1,0.186310459,2014,0,1,0
462,Shirley McKellar,0,RUSK,1,house,1,0.18149704,2014,0,1,0
463,Shirley McKellar,0,SABINE,1,house,1,0.141654466,2014,0,1,0
464,Shirley McKellar,0,SAN AUGUSTINE,1,house,1,0.295299469,2014,0,1,0
465,Shirley McKellar,0,SHELBY,1,house,1,0.199742978,2014,0,1,0
466,Shirley McKellar,0,SMITH,1,house,1,0.227502632,2014,0,1,0
467,Shirley McKellar,0,UPSHUR,1,house,1,0.17973985,2014,0,1,0
468,Shirley McKellar,0,WOOD,1,house,1,0.12325784,2014,0,1,0
254,Shirley McKellar,0,ANGELINA,1,house,1,0.324668799,2016,0,1,0
255,Shirley McKellar,0,GREGG,1,house,1,0.380268297,2016,0,1,0
256,Shirley McKellar,0,HARRISON,1,house,1,0.361175847,2016,0,1,0
257,Shirley McKellar,0,NACOGDOCHES,1,house,1,0.422489588,2016,0,1,0
258,Shirley McKellar,0,PANOLA,1,house,1,0.214388317,2016,0,1,0
259,Shirley McKellar,0,RUSK,1,house,1,0.247915396,2016,0,1,0
260,Shirley McKellar,0,SABINE,1,house,1,0.156508264,2016,0,1,0
261,Shirley McKellar,0,SAN AUGUSTINE,1,house,1,0.344307814,2016,0,1,0
262,Shirley McKellar,0,SHELBY,1,house,1,0.2392837,2016,0,1,0
263,Shirley McKellar,0,SMITH,1,house,1,0.345705091,2016,0,1,0
264,Shirley McKellar,0,UPSHUR,1,house,1,0.208278408,2016,0,1,0
265,Shirley McKellar,0,WOOD,1,house,1,0.159633628,2016,0,1,0
276,Tawana W. Cadien,0,AUSTIN,10,house,1,0.162999323,2016,0,1,0
277,Tawana W. Cadien,0,BASTROP,10,house,1,0.38228515,2016,0,1,0
278,Tawana W. Cadien,0,COLORADO,10,house,1,0.220101623,2016,0,1,0
279,Tawana W. Cadien,0,FAYETTE,10,house,1,0.175766148,2016,0,1,0
280,Tawana W. Cadien,0,HARRIS,10,house,1,0.293275458,2016,0,1,0
281,Tawana W. Cadien,0,LEE,10,house,1,0.1975042,2016,0,1,0
282,Tawana W. Cadien,0,TRAVIS,10,house,1,0.63106861,2016,0,1,0
283,Tawana W. Cadien,0,WALLER,10,house,1,0.335676409,2016,0,1,0
284,Tawana W. Cadien,0,WASHINGTON,10,house,1,0.202772721,2016,0,1,0
473,Tawana W. Cadien,0,AUSTIN,10,house,1,0.136643297,2014,0,1,0
474,Tawana W. Cadien,0,BASTROP,10,house,1,0.374946004,2014,0,1,0
475,Tawana W. Cadien,0,COLORADO,10,house,1,0.197997548,2014,0,1,0
476,Tawana W. Cadien,0,FAYETTE,10,house,1,0.163796724,2014,0,1,0
477,Tawana W. Cadien,0,HARRIS,10,house,1,0.212395846,2014,0,1,0
478,Tawana W. Cadien,0,LEE,10,house,1,0.186516854,2014,0,1,0
479,Tawana W. Cadien,0,TRAVIS,10,house,1,0.579458275,2014,0,1,0
480,Tawana W. Cadien,0,WALLER,10,house,1,0.270303573,2014,0,1,0
481,Tawana W. Cadien,0,WASHINGTON,10,house,1,0.17711078,2014,0,1,0
313,Tom Wakely,1,BANDERA,21,house,1,0.158058494,2016,0,1,0
314,Tom Wakely,1,BEXAR,21,house,1,0.379269415,2016,0,1,0
315,Tom Wakely,1,BLANCO,21,house,1,0.208271237,2016,0,1,0
316,Tom Wakely,1,COMAL,21,house,1,0.184827384,2016,0,1,0
317,Tom Wakely,1,GILLESPIE,21,house,1,0.152964744,2016,0,1,0
318,Tom Wakely,1,HAYS,21,house,1,0.423724013,2016,0,1,0
319,Tom Wakely,1,KENDALL,21,house,1,0.15688547,2016,0,1,0
320,Tom Wakely,1,KERR,21,house,1,0.184693784,2016,0,1,0
321,Tom Wakely,1,REAL,21,house,1,0.117684078,2016,0,1,0
322,Tom Wakely,1,TRAVIS,21,house,1,0.681685506,2016,0,1,0
291,Vincete Gonzalez,1,BROOKS,15,house,1,0.83277027,2016,1,0,0
292,Vincete Gonzalez,1,DUVAL,15,house,1,0.794094174,2016,1,0,0
293,Vincete Gonzalez,1,GUADALUPE,15,house,1,0.311131366,2016,1,0,0
294,Vincete Gonzalez,1,HIDALGO,15,house,1,0.735346359,2016,1,0,0
295,Vincete Gonzalez,1,JIM HOGG,15,house,1,0.871235722,2016,1,0,0
296,Vincete Gonzalez,1,KARNES,15,house,1,0.322376738,2016,1,0,0
297,Vincete Gonzalez,1,LIVE OAK,15,house,1,0.184547244,2016,1,0,0
298,Vincete Gonzalez,1,WILSON,15,house,1,0.15379902,2016,1,0,0
598,Wesley Reed,1,ARANSAS,27,house,,0.242916379,2014,0,0,0
599,Wesley Reed,1,BASTROP,"2,258",house,,0.359268099,2014,0,0,0
600,Wesley Reed,1,CALDWELL,"1,549",house,,0.34452847,2014,0,0,0
601,Wesley Reed,1,CALHOUN,"1,217",house,,0.309354347,2014,0,0,0
602,Wesley Reed,1,GONZALES,615,house,,0.238279737,2014,0,0,0
603,Wesley Reed,1,JACKSON,445,house,,0.158645276,2014,0,0,0
604,Wesley Reed,1,LAVACA,706,house,,0.144672131,2014,0,0,0
605,Wesley Reed,1,MATAGORDA,"1,987",house,,0.296169325,2014,0,0,0
606,Wesley Reed,1,NUECES,"24,810",house,,0.449456522,2014,0,0,0
607,Wesley Reed,1,REFUGIO,745,house,,0.378172589,2014,0,0,0
608,Wesley Reed,1,SAN PATRICIO,"2,422",house,,0.295654297,2014,0,0,0
609,Wesley Reed,1,VICTORIA,"4,155",house,,0.250678733,2014,0,0,0
610,Wesley Reed,1,WHARTON,"1,837",house,,0.227379626,2014,0,0,0
299,William Matta,1,BASTROP,17,house,1,0.306493506,2016,0,1,0
300,William Matta,1,BRAZOS,17,house,1,0.310439252,2016,0,1,0
301,William Matta,1,BURLESON,17,house,1,0.203873448,2016,0,1,0
302,William Matta,1,FALLS,17,house,1,0.299346664,2016,0,1,0
303,William Matta,1,FREESTONE,17,house,1,0.187794077,2016,0,1,0
304,William Matta,1,LEE,17,house,1,0.20700309,2016,0,1,0
305,William Matta,1,LEON,17,house,1,0.115508021,2016,0,1,0
306,William Matta,1,LIMESTONE,17,house,1,0.22715685,2016,0,1,0
307,William Matta,1,MCLENNAN,17,house,1,0.321950646,2016,0,1,0
308,William Matta,1,MILAM,17,house,1,0.232785697,2016,0,1,0
309,William Matta,1,ROBERTSON,17,house,1,0.295726748,2016,0,1,0
310,William Matta,1,TRAVIS,17,house,1,0.642466918,2016,0,1,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
