county,office,district_num_x,dem_candidate,two_party_vtshare,county_num_x,office_x,med_two_party_vtshare,pro_gun_control,pro_choice,pro_climate,candidate_male,candidate_hispanic,candidate_female,county_num_y,urban,border,population,percent_female,percent_hispanic,veterans_per_1000,crimes_per_1000
DALLAS,house,33,Marc Veasy,0.701620864,57,house,0.736891958,1,1,1,1,0,0,57,1,0,2591002,0.50140023,0.425815573,43.91,40.233
DENTON,house,24,Jan McDowell,0.438669486,61,house,0.438669486,1,1,1,1,0,0,61,1,0,805292,0.507586068,0.217611748,61.61,18.29
DENTON,house,26,Eric Mauck,0.32065032,61,house,0.32065032,1,0,1,1,0,0,61,1,0,805292,0.507586068,0.217611748,61.61,18.29
DEWITT,house,34,Filemon B. Vela,0.178253657,62,house,0.557067891,0,1,0,1,1,0,,,,,,,,
DIMMIT,house,23,Pete P. Gallego,0.685964322,64,house,0.442352941,0,1,1,1,1,0,64,0,0,10459,0.510756286,0.85677407,41.32,42.989
DUVAL,house,15,Vincete Gonzalez,0.794094174,66,house,0.528861549,1,1,,1,1,0,66,0,0,11223,0.48240221,0.889601711,50.67,36.485
EDWARDS,house,23,Pete P. Gallego,0.297325103,69,house,0.442352941,0,1,1,1,1,0,69,0,0,1876,0.486140725,0.53891258,76.42,23.87
EL PASO,house,23,Pete P. Gallego,0.842229713,71,house,0.442352941,0,1,1,1,1,0,,,,,,,,
ELLIS,house,6,Ruby Faye Woolridge,0.318387877,70,house,0.318387877,1,,1,0,1,1,70,1,0,168716,0.508155717,0.269790654,74.03,22.365
ERATH,house,25,Kathi Thomas,0.161639344,72,house,0.200173263,1,1,1,0,0,1,72,0,0,41392,0.507030344,0.22168535,55.5,21.041
FALLS,house,17,William Matta,0.299346664,73,house,0.264256223,1,1,,1,0,0,73,1,0,17377,0.521551476,0.228347816,71.48,6.366
FAYETTE,house,10,Tawana W. Cadien,0.175766148,75,house,0.220101623,1,1,1,0,1,1,75,0,0,25524,0.503800345,0.214229745,74.45,12.593
FORT BEND,house,9,Al Green,0.793993994,79,house,0.802774895,1,1,1,1,0,0,,,,,,,,
FORT BEND,house,22,Mark Gibson,0.401447906,79,house,0.401447906,1,0,0,1,0,0,,,,,,,,
FREESTONE,house,17,William Matta,0.187794077,81,house,0.264256223,1,1,,1,0,0,81,0,0,20131,0.473746957,0.156028016,64.7,18.107
FRIO,house,23,Pete P. Gallego,0.564981504,82,house,0.442352941,0,1,1,1,1,0,82,0,0,18822,0.416108809,0.787376474,55,22.902
GALVESTON,house,14,Michael Cole,0.537592362,84,house,0.537592362,0,1,1,1,0,0,84,1,0,326418,0.499920348,0.250635688,83.74,33.138
GILLESPIE,house,21,Tom Wakely,0.152964744,86,house,0.184760584,1,1,1,1,0,0,86,0,0,26733,0.518310702,0.225788351,96.03,14.834
GOLIAD,house,34,Filemon B. Vela,0.308571429,88,house,0.557067891,0,1,0,1,1,0,88,1,0,7742,0.502454146,0.371092741,77.12,22.222
GONZALES,house,27,Raul (Roy) Barrera,0.267676768,89,house,0.305126464,,,,1,1,0,89,0,0,20557,0.489906115,0.509996595,57.66,33.691
GONZALES,house,34,Filemon B. Vela,0.20878494,89,house,0.557067891,0,1,0,1,1,0,89,0,0,20557,0.489906115,0.509996595,57.66,33.691
GREGG,house,1,Shirley McKellar,0.380268297,92,house,0.286292097,1,1,1,0,0,1,92,1,0,125907,0.50556363,0.213594161,70.82,48.014
GUADALUPE,house,15,Vincete Gonzalez,0.311131366,94,house,0.528861549,1,1,,1,1,0,94,1,0,156046,0.514015098,0.37883701,137.36,20.902
GUADALUPE,house,35,Lloyd Doggett,0.342244011,94,house,0.574653149,1,1,1,1,0,0,94,1,0,156046,0.514015098,0.37883701,137.36,20.902
HAMILTON,house,25,Kathi Thomas,0.138282387,97,house,0.200173263,1,1,1,0,0,1,97,0,0,8686,0.500115128,0.118466498,96.04,23.768
HARDIN,house,36,Hal J Ridley Jr. ,0.056777757,100,house,0.085919056,1,1,1,1,0,0,100,1,0,58206,0.506494176,0.05638594,78.17,17.713
HARRIS,house,2,Pat Bryan,0.594165698,101,house,0.594165698,1,,,1,0,0,101,1,0,4565394,0.499096025,0.44615755,45.23,48.743
HARRIS,house,7,James Cargas,0.780196737,101,house,0.780196737,1,1,1,1,0,0,101,1,0,4565394,0.499096025,0.44615755,45.23,48.743
HARRIS,house,9,Al Green,0.811555795,101,house,0.802774895,1,1,1,1,0,0,101,1,0,4565394,0.499096025,0.44615755,45.23,48.743
HARRIS,house,10,Tawana W. Cadien,0.293275458,101,house,0.220101623,1,1,1,0,1,1,101,1,0,4565394,0.499096025,0.44615755,45.23,48.743
HARRIS,house,18,Sheila Jackson Lee,0.4236159,101,house,0.4236159,1,1,1,0,0,1,101,1,0,4565394,0.499096025,0.44615755,45.23,48.743
HARRIS,house,22,Mark Gibson,0.445083127,101,house,0.401447906,1,0,0,1,0,0,101,1,0,4565394,0.499096025,0.44615755,45.23,48.743
HARRIS,house,29,Gene Green,0.751396363,101,house,0.751396363,0,1,1,1,0,0,101,1,0,4565394,0.499096025,0.44615755,45.23,48.743
HARRIS,house,36,Hal J Ridley Jr. ,0.160540671,101,house,0.085919056,1,1,1,1,0,0,101,1,0,4565394,0.499096025,0.44615755,45.23,48.743
HARRISON,house,1,Shirley McKellar,0.361175847,102,house,0.286292097,1,1,1,0,0,1,102,0,0,68716,0.502532161,0.145264567,69.43,26.614
HAYS,house,21,Tom Wakely,0.423724013,105,house,0.184760584,1,1,1,1,0,0,105,1,0,201588,0.507108558,0.391000456,77.62,22.635
HAYS,house,25,Kathi Thomas,0.366844151,105,house,0.200173263,1,1,1,0,0,1,105,1,0,201588,0.507108558,0.391000456,77.62,22.635
HAYS,house,35,Lloyd Doggett,0.593625968,105,house,0.574653149,1,1,1,1,0,0,105,1,0,201588,0.507108558,0.391000456,77.62,22.635
HIDALGO,house,15,Vincete Gonzalez,0.735346359,108,house,0.528861549,1,1,,1,1,0,108,1,0,855229,0.509989722,0.909510786,27.78,39.746
HIDALGO,house,28,Henry Cuellar,0.753851395,108,house,0.753851395,0,0,1,1,1,0,108,1,0,855229,0.509989722,0.909510786,27.78,39.746
HIDALGO,house,34,Filemon B. Vela,0.732909121,108,house,0.557067891,0,1,0,1,1,0,108,1,0,855229,0.509989722,0.909510786,27.78,39.746
HILL,house,25,Kathi Thomas,0.200499235,109,house,0.200173263,1,1,1,0,0,1,109,0,0,35785,0.501355316,0.20891435,80.6,24.53
HUDSPETH,house,23,Pete P. Gallego,0.462893082,115,house,0.442352941,0,1,1,1,1,0,115,1,0,3673,0.490062619,0.801524639,42.58,7.867
JACKSON,house,27,Raul (Roy) Barrera,0.173197492,120,house,0.305126464,,,,1,1,0,120,0,0,14762,0.504741905,0.320010839,66.71,17.246
JASPER,house,36,Hal J Ridley Jr. ,0.085919056,121,house,0.085919056,1,1,1,1,0,0,121,0,0,35572,0.505509952,0.066512988,71.88,29.58
JEFF DAVIS,house,23,Pete P. Gallego,0.446771379,122,house,0.442352941,0,1,1,1,1,0,,,,,,,,
JEFFERSON,house,14,Michael Cole,0.956403022,123,house,0.537592362,0,1,1,1,0,0,123,1,0,248797,0.484205999,0.210448679,68.08,48.18
JIM HOGG,house,15,Vincete Gonzalez,0.871235722,124,house,0.528861549,1,1,,1,1,0,,,,,,,,
JIM WELLS,house,34,Filemon B. Vela,0.573044139,125,house,0.557067891,0,1,0,1,1,0,,,,,,,,
JOHNSON,house,25,Kathi Thomas,0.192028328,126,house,0.200173263,1,1,1,0,0,1,126,1,0,165405,0.501061032,0.222236329,73.14,23.529
KARNES,house,15,Vincete Gonzalez,0.322376738,128,house,0.528861549,1,1,,1,1,0,128,0,0,15510,0.403546099,0.507865893,54.03,29.355
KENDALL,house,21,Tom Wakely,0.15688547,130,house,0.184760584,1,1,1,1,0,0,130,1,0,42324,0.520981004,0.221529156,96.26,17.358
KENEDY,house,34,Filemon B. Vela,0.610778443,131,house,0.557067891,0,1,0,1,1,0,131,0,0,418,0.480861244,0.758373206,31.25,29.68
KERR,house,21,Tom Wakely,0.184693784,133,house,0.184760584,1,1,1,1,0,0,133,0,0,51631,0.514710155,0.266797079,114.34,22.145
KINNEY,house,23,Pete P. Gallego,0.337234821,136,house,0.442352941,0,1,1,1,1,0,136,0,0,3710,0.457142857,0.599730458,97,2.067
KLEBERG,house,34,Filemon B. Vela,0.515996096,137,house,0.557067891,0,1,0,1,1,0,137,0,0,31462,0.488589409,0.713273155,64.47,39.299
LAMPASAS,house,25,Kathi Thomas,0.183023197,141,house,0.200173263,1,1,1,0,0,1,141,1,0,20899,0.504569597,0.206564907,161.2,23.724
LASALLE,house,23,Pete P. Gallego,0.599257885,142,house,0.442352941,0,1,1,1,1,0,,,,,,,,
LASALLE,house,28,Henry Cuellar,0.772321429,142,house,0.753851395,0,0,1,1,1,0,,,,,,,,
LAVACA,house,27,Raul (Roy) Barrera,0.141372387,143,house,0.305126464,,,,1,1,0,143,0,0,19709,0.504794764,0.186513775,68.58,17.003
LEE,house,10,Tawana W. Cadien,0.1975042,144,house,0.220101623,1,1,1,0,1,1,144,0,0,17092,0.495611982,0.245670489,74.28,23.641
LEE,house,17,William Matta,0.20700309,144,house,0.264256223,1,1,,1,0,0,144,0,0,17092,0.495611982,0.245670489,74.28,23.641
LEON,house,17,William Matta,0.115508021,145,house,0.264256223,1,1,,1,0,0,145,0,0,17407,0.495145631,0.159016488,92.85,14.879
LIBERTY,house,36,Hal J Ridley Jr. ,0.091876254,146,house,0.085919056,1,1,1,1,0,0,146,1,0,80699,0.507763417,0.221626042,68.43,36.232
LIMESTONE,house,17,William Matta,0.22715685,147,house,0.264256223,1,1,,1,0,0,147,0,0,24012,0.477136432,0.222555389,66.67,30.634
LIVE OAK,house,15,Vincete Gonzalez,0.184547244,149,house,0.528861549,1,1,,1,1,0,,,,,,,,
