,county,county_num,urban,border
221,TERRELL,222,0,0
222,TERRY,223,0,0
223,THROCKMORTON,224,0,0
224,TITUS,225,0,0
225,TOM GREEN,226,1,0
226,TRAVIS,227,1,0
227,TRINITY,228,0,0
228,TYLER,229,0,0
229,UPSHUR,230,1,0
230,UPTON,231,0,0
231,UVALDE,232,0,0
232,VAL VERDE,233,0,0
233,VAN ZANDT,234,0,0
234,VICTORIA,235,1,0
235,WALKER,236,0,0
236,WALLER,237,1,0
237,WARD,238,0,0
238,WASHINGTON,239,0,0
239,WEBB,240,1,0
240,WHARTON,241,0,0
241,WHEELER,242,0,0
242,WICHITA,243,1,0
243,WILBARGER,244,0,0
244,WILLACY,245,0,0
245,WILLIAMSON,246,1,0
246,WILSON,247,1,0
247,WINKLER,248,0,0
248,WISE,249,1,0
249,WOOD,250,0,0
250,YOAKUM,251,0,0
251,YOUNG,252,0,0
252,ZAPATA,253,0,0
253,ZAVALA,254,0,0
