,County,FIPS,Age,Total,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Other Total,Other Male,Other Female,Hispanic Total,Hispanic Male,Hispanic Female
11223,KAUFMAN COUNTY,257,All Ages,119025,57904,61121,77968,37624,40344,12572,5993,6579,4158,1942,2216,24327,12345,11982
11310,KENDALL COUNTY,259,All Ages,42324,20274,22050,31878,14931,16947,163,93,70,907,445,462,9376,4805,4571
11397,KENEDY COUNTY,261,All Ages,418,217,201,89,43,46,1,0,1,11,6,5,317,168,149
11484,KENT COUNTY,263,All Ages,813,398,415,663,320,343,8,2,6,13,6,7,129,70,59
11571,KERR COUNTY,265,All Ages,51631,25056,26575,35738,16988,18750,755,461,294,1363,641,722,13775,6966,6809
11658,KIMBLE COUNTY,267,All Ages,4606,2328,2278,3330,1646,1684,11,9,2,62,33,29,1203,640,563
11745,KING COUNTY,269,All Ages,299,147,152,253,118,135,0,0,0,6,2,4,40,27,13
11832,KINNEY COUNTY,271,All Ages,3710,2014,1696,1383,673,710,40,19,21,62,31,31,2225,1291,934
11919,KLEBERG COUNTY,273,All Ages,31462,16090,15372,6798,3592,3206,1105,630,475,1118,660,458,22441,11208,11233
12006,KNOX COUNTY,275,All Ages,3562,1762,1800,2087,1041,1046,210,91,119,57,31,26,1208,599,609
12093,LAMAR COUNTY,277,All Ages,50653,24672,25981,36884,18003,18881,6859,3208,3651,2685,1283,1402,4225,2178,2047
12180,LAMB COUNTY,279,All Ages,13114,6591,6523,5060,2483,2577,538,279,259,245,117,128,7271,3712,3559
12267,LAMPASAS COUNTY,281,All Ages,20899,10354,10545,14937,7352,7585,593,304,289,1052,467,585,4317,2231,2086
12354,LA SALLE COUNTY,283,All Ages,7620,4531,3089,916,483,433,19,18,1,59,36,23,6626,3994,2632
12441,LAVACA COUNTY,285,All Ages,19709,9760,9949,14373,7036,7337,1357,688,669,303,152,151,3676,1884,1792
12528,LEE COUNTY,287,All Ages,17092,8621,8471,10695,5231,5464,1817,986,831,381,188,193,4199,2216,1983
12615,LEON COUNTY,289,All Ages,17407,8788,8619,13207,6634,6573,1122,548,574,310,133,177,2768,1473,1295
12702,LIBERTY COUNTY,291,All Ages,80699,39723,40976,52424,25679,26745,8275,3914,4361,2115,954,1161,17885,9176,8709
12789,LIMESTONE COUNTY,293,All Ages,24012,12555,11457,14074,7173,6901,4033,2060,1973,561,289,272,5344,3033,2311
