,County,FIPS,Age,Total,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Other Total,Other Male,Other Female,Hispanic Total,Hispanic Male,Hispanic Female
2610,CALLAHAN COUNTY,59,All Ages,14147,6626,7521,12268,5652,6616,150,75,75,411,202,209,1318,697,621
2697,CAMERON COUNTY,61,All Ages,423998,205892,218106,39360,19929,19431,1340,789,551,4667,2327,2340,378631,182847,195784
2784,CAMP COUNTY,63,All Ages,12778,6280,6498,7122,3451,3671,2156,1021,1135,435,207,228,3065,1601,1464
2871,CARSON COUNTY,65,All Ages,6098,2984,3114,5316,2601,2715,33,15,18,147,80,67,602,288,314
2958,CASS COUNTY,67,All Ages,30867,15077,15790,23433,11484,11949,5313,2551,2762,752,331,421,1369,711,658
3045,CASTRO COUNTY,69,All Ages,7594,3899,3695,2588,1332,1256,134,69,65,95,44,51,4777,2454,2323
3132,CHAMBERS COUNTY,71,All Ages,40863,20470,20393,26960,13322,13638,3256,1655,1601,1131,560,571,9516,4933,4583
3219,CHEROKEE COUNTY,73,All Ages,52278,26802,25476,30741,15111,15630,7388,4027,3361,1404,652,752,12745,7012,5733
3306,CHILDRESS COUNTY,75,All Ages,6937,4101,2836,4135,2176,1959,658,525,133,166,84,82,1978,1316,662
3393,CLAY COUNTY,77,All Ages,10465,5100,5365,9608,4708,4900,48,25,23,316,144,172,493,223,270
3480,COCHRAN COUNTY,79,All Ages,3011,1504,1507,1229,619,610,103,44,59,38,17,21,1641,824,817
3567,COKE COUNTY,81,All Ages,3245,1597,1648,2548,1240,1308,8,6,2,62,28,34,627,323,304
3654,COLEMAN COUNTY,83,All Ages,8657,4443,4214,6647,3410,3237,204,97,107,219,102,117,1587,834,753
3741,COLLIN COUNTY,85,All Ages,959054,469864,489190,545818,268413,277405,89991,41735,48256,155704,75836,79868,167541,83880,83661
3828,COLLINGSWORTH COUNTY,87,All Ages,2950,1438,1512,1755,865,890,126,53,73,80,40,40,989,480,509
3915,COLORADO COUNTY,89,All Ages,21934,10989,10945,12156,6027,6129,2839,1401,1438,406,170,236,6533,3391,3142
4002,COMAL COUNTY,91,All Ages,134668,66348,68320,94063,46420,47643,2169,1152,1017,3817,1768,2049,34619,17008,17611
4089,COMANCHE COUNTY,93,All Ages,13865,6931,6934,9516,4678,4838,27,12,15,216,103,113,4106,2138,1968
4176,CONCHO COUNTY,95,All Ages,4168,2827,1341,1810,915,895,57,50,7,45,25,20,2256,1837,419
4263,COOKE COUNTY,97,All Ages,39545,19820,19725,29611,14586,15025,1101,612,489,1393,634,759,7440,3988,3452
4350,CORYELL COUNTY,99,All Ages,75948,37002,38946,44472,21591,22881,10980,5267,5713,6337,3039,3298,14159,7105,7054
4437,COTTLE COUNTY,101,All Ages,1431,702,729,961,464,497,126,60,66,18,9,9,326,169,157
4524,CRANE COUNTY,103,All Ages,4886,2435,2451,1798,875,923,123,61,62,81,41,40,2884,1458,1426
4611,CROCKETT COUNTY,105,All Ages,3649,1807,1842,1241,613,628,11,7,4,42,29,13,2355,1158,1197
4698,CROSBY COUNTY,107,All Ages,5908,2857,3051,2193,1044,1149,169,73,96,67,35,32,3479,1705,1774
4785,CULBERSON COUNTY,109,All Ages,2233,1095,1138,460,235,225,6,3,3,53,26,27,1714,831,883
4872,DALLAM COUNTY,111,All Ages,7193,3801,3392,3696,1918,1778,82,43,39,239,140,99,3176,1700,1476
4959,DALLAS COUNTY,113,All Ages,2591002,1291873,1299129,703882,347508,356374,576938,269504,307434,206893,102490,104403,1103289,572371,530918
5046,DAWSON COUNTY,115,All Ages,13436,7634,5802,4884,2731,2153,833,610,223,244,135,109,7475,4158,3317
5133,DEAF SMITH COUNTY,117,All Ages,19567,9835,9732,5200,2537,2663,155,75,80,226,107,119,13986,7116,6870
5220,DELTA COUNTY,119,All Ages,5211,2558,2653,4242,2071,2171,393,181,212,229,105,124,347,201,146
5307,DENTON COUNTY,121,All Ages,805292,396537,408755,465994,229553,236441,72572,34572,38000,91485,44946,46539,175241,87466,87775
5394,DE WITT COUNTY,123,All Ages,20960,11048,9912,11064,5588,5476,1872,1113,759,449,208,241,7575,4139,3436
5481,DICKENS COUNTY,125,All Ages,2131,1210,921,1356,704,652,72,64,8,51,33,18,652,409,243
5568,DIMMIT COUNTY,127,All Ages,10459,5117,5342,1324,699,625,78,40,38,96,44,52,8961,4334,4627
5655,DONLEY COUNTY,129,All Ages,3463,1753,1710,2898,1483,1415,183,91,92,66,21,45,316,158,158
5742,DUVAL COUNTY,131,All Ages,11223,5809,5414,1095,616,479,80,76,4,64,33,31,9984,5084,4900
5829,EASTLAND COUNTY,133,All Ages,18516,9125,9391,14874,7215,7659,330,197,133,350,178,172,2962,1535,1427
5916,ECTOR COUNTY,135,All Ages,159974,79639,80335,57036,28134,28902,6377,3114,3263,4198,2186,2012,92363,46205,46158
6003,EDWARDS COUNTY,137,All Ages,1876,964,912,841,411,430,8,6,2,16,8,8,1011,539,472
6090,ELLIS COUNTY,139,All Ages,168716,82982,85734,103220,50152,53068,15403,7443,7960,4575,2208,2367,45518,23179,22339
6177,EL PASO COUNTY,141,All Ages,841570,410597,430973,95674,51014,44660,21273,12195,9078,20852,10177,10675,703771,337211,366560
6264,ERATH COUNTY,143,All Ages,41392,20405,20987,30627,14782,15845,512,302,210,1077,541,536,9176,4780,4396
6351,FALLS COUNTY,145,All Ages,17377,8314,9063,8678,4099,4579,4341,1902,2439,390,194,196,3968,2119,1849
6438,FANNIN COUNTY,147,All Ages,35048,18614,16434,27570,14041,13529,2273,1535,738,1188,588,600,4017,2450,1567
6525,FAYETTE COUNTY,149,All Ages,25524,12665,12859,18019,8850,9169,1658,826,832,379,177,202,5468,2812,2656
6612,FISHER COUNTY,151,All Ages,3855,1936,1919,2610,1297,1313,125,60,65,51,28,23,1069,551,518
6699,FLOYD COUNTY,153,All Ages,5871,2914,2957,2248,1099,1149,194,99,95,51,19,32,3378,1697,1681
6786,FOARD COUNTY,155,All Ages,1191,576,615,941,454,487,50,18,32,9,5,4,191,99,92
