year,county,office,district,candidate,vote_share,pro_gun_control,candidate_male,candidate_hispanic
2014,LIBERTY,house,36,Michael Cole,0.196071959,0,1,0
2016,TRAVIS,house,17,William Matta,0.642466918,1,1,0
2016,TRAVIS,house,21,Tom Wakely,0.681685506,1,1,0
2016,TRAVIS,house,25,Kathi Thomas,0.577773405,1,0,0
2016,TRAVIS,house,35,Lloyd Doggett,0.824413249,1,1,0
2016,TYLER,house,36,Hal J Ridley Jr.åÊ,0.071735626,1,1,0
2014,NEWTON,house,36,Michael Cole,0.25506937,0,1,0
2016,UPTON,house,23,Pete P. Gallego,0.250612245,0,1,1
2016,UVALDE,house,23,Pete P. Gallego,0.446975006,0,1,1
2016,VAL VERDE,house,23,Pete P. Gallego,0.546608549,0,1,1
2016,VICTORIA,house,27,Raul (Roy) Barrera,0.295441109,,1,1
2014,ORANGE,house,36,Michael Cole,0.215096582,0,1,0
2016,WARD,house,23,Pete P. Gallego,0.262012693,0,1,1
2014,POLK,house,36,Michael Cole,0.193248193,0,1,0
2016,WEBB,house,28,Henry Cuellar,0.886362818,0,1,1
2016,WHARTON,house,27,Raul (Roy) Barrera,0.290649983,,1,1
2014,TYLER,house,36,Michael Cole,0.168466523,0,1,0
2016,WILLIAMSON,house,31,Mike Clark,0.398998695,1,1,0
2016,WILSON,house,15,Vincete Gonzalez,0.15379902,1,1,1
2016,WILSON,house,28,Henry Cuellar,0.348651526,0,1,1
2016,WINKLER,house,23,Pete P. Gallego,0.220254566,0,1,1
2016,WISE,house,12,Bill Bradshaw,0.167534496,,1,0
2014,ANGELINA,house,1,Shirley J McKellar,0.216688694,1,0,0
2016,ZAPATA,house,28,Henry Cuellar,0.834837847,0,1,1
2016,ZAVALA,house,23,Pete P. Gallego,0.800194301,0,1,1
2014,GREGG,house,1,Shirley J McKellar,0.250467778,1,0,0
2014,HARRISON,house,1,Shirley J McKellar,0.274186908,1,0,0
2014,NACOGDOCHES,house,1,Shirley J McKellar,0.242334154,1,0,0
2014,PANOLA,house,1,Shirley J McKellar,0.186310459,1,0,0
2014,RUSK,house,1,Shirley J McKellar,0.18149704,1,0,0
2014,SABINE,house,1,Shirley J McKellar,0.141654466,1,0,0
2014,SAN AUGUSTINE,house,1,Shirley J McKellar,0.295299469,1,0,0
2014,SHELBY,house,1,Shirley J McKellar,0.199742978,1,0,0
2014,SMITH,house,1,Shirley J McKellar,0.227502632,1,0,0
2014,UPSHUR,house,1,Shirley J McKellar,0.17973985,1,0,0
2014,WOOD,house,1,Shirley J McKellar,0.12325784,1,0,0
2016,ANGELINA,house,1,Shirley J McKellar,0.324668799,1,0,0
2014,HARRIS,house,2,Niko Lestos,0.303706335,,1,0
2014,ELLIS,house,6,David E. Cozad,0.224746004,,1,0
2014,NAVARRO,house,6,David E. Cozad,0.215165262,,1,0
2014,TARRANT,house,6,David E. Cozad,0.429946734,,1,0
2014,HARRIS,house,7,James Cargas,0.353202364,1,1,0
2014,HARRIS,house,7,James Cargas,0.353202364,1,1,0
2016,GREGG,house,1,Shirley J McKellar,0.380268297,1,0,0
2016,HARRISON,house,1,Shirley J McKellar,0.361175847,1,0,0
2016,NACOGDOCHES,house,1,Shirley J McKellar,0.422489588,1,0,0
2016,PANOLA,house,1,Shirley J McKellar,0.214388317,1,0,0
2016,RUSK,house,1,Shirley J McKellar,0.247915396,1,0,0
2016,SABINE,house,1,Shirley J McKellar,0.156508264,1,0,0
2016,SAN AUGUSTINE,house,1,Shirley J McKellar,0.344307814,1,0,0
2016,SHELBY,house,1,Shirley J McKellar,0.2392837,1,0,0
2016,SMITH,house,1,Shirley J McKellar,0.345705091,1,0,0
2014,PARKER,house,12,Mark Greene,0.133329018,1,1,0
2014,TARRANT,house,12,Mark Greene,0.309400667,1,1,0
2014,WISE,house,12,Mark Greene,0.139252122,1,1,0
2014,ARCHER,house,13,Mike Minter,0.096333853,,1,0
2014,ARMSTRONG,house,13,Mike Minter,0.078899083,,1,0
2014,BAYLOR,house,13,Mike Minter,0.138480392,,1,0
2014,BRISCOE,house,13,Mike Minter,0.115768463,,1,0
2014,CARSON,house,13,Mike Minter,0.091161757,,1,0
2014,CHILDRESS,house,13,Mike Minter,0.105164319,,1,0
2014,CLAY,house,13,Mike Minter,0.11420205,,1,0
2014,COLLINGSWORTH,house,13,Mike Minter,0.108614232,,1,0
2014,COOKE,house,13,Mike Minter,0.117225162,,1,0
2014,COTTLE,house,13,Mike Minter,0.12173913,,1,0
2014,DALLAM,house,13,Mike Minter,0.103067485,,1,0
2014,DEAF SMITH,house,13,Mike Minter,0.152362949,,1,0
2014,DICKENS,house,13,Mike Minter,0.103792415,,1,0
2014,DONLEY,house,13,Mike Minter,0.101433297,,1,0
2014,FLOYD,house,13,Mike Minter,0.081858407,,1,0
2014,FOARD,house,13,Mike Minter,0.28852459,,1,0
2014,GRAY,house,13,Mike Minter,0.065368567,,1,0
2014,HALL,house,13,Mike Minter,0.127622378,,1,0
2014,HANSFORD,house,13,Mike Minter,0.031896552,,1,0
2014,HARDEMAN,house,13,Mike Minter,0.165898618,,1,0
2014,HARTLEY,house,13,Mike Minter,0.080956762,,1,0
2014,HEMPHILL,house,13,Mike Minter,0.079345088,,1,0
2014,HUTCHINSON,house,13,Mike Minter,0.084099265,,1,0
2014,JACK,house,13,Mike Minter,0.112543962,,1,0
2014,KING,house,13,Mike Minter,0.011235955,,1,0
2014,KNOX,house,13,Mike Minter,0.163972286,,1,0
2014,LIPSCOMB,house,13,Mike Minter,0.076372315,,1,0
2014,MONTAGUE,house,13,Mike Minter,0.108452217,,1,0
2014,MOORE,house,13,Mike Minter,0.091381872,,1,0
2014,MOTLEY,house,13,Mike Minter,0.035911602,,1,0
2014,OCHILTREE,house,13,Mike Minter,0.035828535,,1,0
2014,OLDHAM,house,13,Mike Minter,0.043399638,,1,0
2014,POTTER,house,13,Mike Minter,0.184316405,,1,0
2014,RANDALL,house,13,Mike Minter,0.106675007,,1,0
2014,ROBERTS,house,13,Mike Minter,0.034985423,,1,0
2014,SHERMAN,house,13,Mike Minter,0.063356164,,1,0
2014,SWISHER,house,13,Mike Minter,0.196519217,,1,0
2014,WHEELER,house,13,Mike Minter,0.074615385,,1,0
2014,WICHITA,house,13,Mike Minter,0.203464046,,1,0
2014,WILBARGER,house,13,Mike Minter,0.17247844,,1,0
2014,WISE,house,13,Mike Minter,0.139905019,,1,0
2014,BRAZORIA,house,14,Donald G. Brown,0.237805305,,1,0
2014,GALVESTON,house,14,Donald G. Brown,0.33490362,,1,0
2014,JEFFERSON,house,14,Donald G. Brown,0.480860781,,1,0
2014,BROOKS,house,15,Ruben Hinojosa,0.800197824,1,1,1
2014,DUVAL,house,15,Ruben Hinojosa,0.820635463,1,1,1
2014,GUADALUPE,house,15,Ruben Hinojosa,0.279490359,1,1,1
2014,HIDALGO,house,15,Ruben Hinojosa,0.681247881,1,1,1
2014,JIM HOGG,house,15,Ruben Hinojosa,0.803443329,1,1,1
2014,KARNES,house,15,Ruben Hinojosa,0.355773328,1,1,1
2014,LIVE OAK,house,15,Ruben Hinojosa,0.185452999,1,1,1
2014,WILSON,house,15,Ruben Hinojosa,0.173817382,1,1,1
2014,EL PASO,house,16,Beto O'Rourke,0.698225355,1,1,0
2014,BASTROP,house,17,Nick Haynes,0.333333333,,1,0
2014,BRAZOS,house,17,Nick Haynes,0.258307561,,1,0
2014,BURLESON,house,17,Nick Haynes,0.214583845,,1,0
2014,FALLS,house,17,Nick Haynes,0.27802385,,1,0
2014,FREESTONE,house,17,Nick Haynes,0.196307548,,1,0
2014,LEE,house,17,Nick Haynes,0.247958426,,1,0
2014,LEON,house,17,Nick Haynes,0.105113636,,1,0
2014,LIMESTONE,house,17,Nick Haynes,0.220511606,,1,0
2014,MCLENNAN,house,17,Nick Haynes,0.279814385,,1,0
2014,MILAM,house,17,Nick Haynes,0.247838009,,1,0
2014,ROBERTSON,house,17,Nick Haynes,0.337291205,,1,0
2014,TRAVIS,house,17,Nick Haynes,0.612427155,,1,0
2014,HARRIS,house,18,Sheila Jackson Lee,0.74352686,1,0,0
2014,BAILEY,house,19,Neal Marchbanks,0.13753878,,1,0
2014,BORDEN,house,19,Neal Marchbanks,0.053278689,,1,0
2014,CASTRO,house,19,Neal Marchbanks,0.178280543,,1,0
2014,COCHRAN,house,19,Neal Marchbanks,0.141304348,,1,0
2014,CROSBY,house,19,Neal Marchbanks,0.232264334,,1,0
2014,FISHER,house,19,Neal Marchbanks,0.329059829,,1,0
2014,FLOYD,house,19,Neal Marchbanks,0.133768352,,1,0
2014,GAINES,house,19,Neal Marchbanks,0.099709182,,1,0
2014,GARZA,house,19,Neal Marchbanks,0.105660377,,1,0
2014,HALE,house,19,Neal Marchbanks,0.134032912,,1,0
2014,HASKELL,house,19,Neal Marchbanks,0.260058881,,1,0
2014,HOCKLEY,house,19,Neal Marchbanks,0.13427762,,1,0
2014,HOWARD,house,19,Neal Marchbanks,0.15246419,,1,0
2014,JONES,house,19,Neal Marchbanks,0.181465935,,1,0
2014,KENT,house,19,Neal Marchbanks,0.22,,1,0
2014,LAMB,house,19,Neal Marchbanks,0.147058824,,1,0
2014,LUBBOCK,house,19,Neal Marchbanks,0.242396834,,1,0
2014,LYNN,house,19,Neal Marchbanks,0.188811189,,1,0
2014,NOLAN,house,19,Neal Marchbanks,0.199272433,,1,0
2014,PARMER,house,19,Neal Marchbanks,0.097953216,,1,0
2014,SCURRY,house,19,Neal Marchbanks,0.111754069,,1,0
2014,SHACKELFORD,house,19,Neal Marchbanks,0.077821012,,1,0
2014,STEPHENS,house,19,Neal Marchbanks,0.075704225,,1,0
2014,STONEWALL,house,19,Neal Marchbanks,0.243093923,,1,0
2014,TAYLOR,house,19,Neal Marchbanks,0.182352941,,1,0
2014,TERRY,house,19,Neal Marchbanks,0.173260573,,1,0
2014,THROCKMORTON,house,19,Neal Marchbanks,0.112403101,,1,0
2014,YOAKUM,house,19,Neal Marchbanks,0.101725704,,1,0
2014,YOUNG,house,19,Neal Marchbanks,0.10769532,,1,0
2014,BRAZORIA,house,22,Frank Brisoce,0.341932842,0,1,0
2014,FORT BEND,house,22,Frank Brisoce,0.307093252,0,1,0
2014,HARRIS,house,22,Frank Brisoce,0.368986428,0,1,0
2014,BEXAR,house,23,Pete P. Gallego,0.413566172,0,1,0
2014,BREWSTER,house,23,Pete P. Gallego,0.598124349,0,1,0
2014,CRANE,house,23,Pete P. Gallego,0.258895706,0,1,0
2014,CROCKETT,house,23,Pete P. Gallego,0.407090465,0,1,0
2014,CULBERSON,house,23,Pete P. Gallego,0.638629283,0,1,0
2014,DIMMIT,house,23,Pete P. Gallego,0.745706371,0,1,0
2014,EDWARDS,house,23,Pete P. Gallego,0.383507853,0,1,0
2014,EL PASO,house,23,Pete P. Gallego,0.817802296,0,1,0
2014,FRIO,house,23,Pete P. Gallego,0.565752658,0,1,0
2014,HUDSPETH,house,23,Pete P. Gallego,0.523809524,0,1,0
2014,JEFF DAVIS,house,23,Pete P. Gallego,0.597073171,0,1,0
2014,KINNEY,house,23,Pete P. Gallego,0.479390681,0,1,0
2014,LASALLE,house,23,Pete P. Gallego,0.574555404,0,1,0
2014,LOVING,house,23,Pete P. Gallego,0.25,0,1,0
2014,MAVERICK,house,23,Pete P. Gallego,0.815242494,0,1,0
2014,MEDINA,house,23,Pete P. Gallego,0.288963421,0,1,0
2014,PECOS,house,23,Pete P. Gallego,0.582809917,0,1,0
2014,PRESIDIO,house,23,Pete P. Gallego,0.795740561,0,1,0
2014,REAGAN,house,23,Pete P. Gallego,0.313402062,0,1,0
2014,REEVES,house,23,Pete P. Gallego,0.671085336,0,1,0
2014,SCHLEICHER,house,23,Pete P. Gallego,0.377990431,0,1,0
2014,SUTTON,house,23,Pete P. Gallego,0.214774282,0,1,0
2014,TERRELL,house,23,Pete P. Gallego,0.585,0,1,0
2014,UPTON,house,23,Pete P. Gallego,0.406542056,0,1,0
2014,UVALDE,house,23,Pete P. Gallego,0.471701913,0,1,0
2014,VAL VERDE,house,23,Pete P. Gallego,0.618911175,0,1,0
2014,WARD,house,23,Pete P. Gallego,0.391012397,0,1,0
2014,WINKLER,house,23,Pete P. Gallego,0.270724029,0,1,0
2014,ZAVALA,house,23,Pete P. Gallego,0.808629088,0,1,0
2014,DALLAS,house,24,Patrick McGehearty,0.389682736,,1,0
2014,DENTON,house,24,Patrick McGehearty,0.350435949,,1,0
2014,TARRANT,house,24,Patrick McGehearty,0.273679185,,1,0
2014,BELL,house,25,Marco Montoya,0.66394148,,1,1
2014,BOSQUE,house,25,Marco Montoya,0.164134389,,1,1
2014,BURNET,house,25,Marco Montoya,0.189298958,,1,1
2014,CORYELL,house,25,Marco Montoya,0.230094872,,1,1
2014,ERATH,house,25,Marco Montoya,0.145753747,,1,1
2014,HAMILTON,house,25,Marco Montoya,0.167032004,,1,1
2014,HAYS,house,25,Marco Montoya,0.353846154,,1,1
2014,HILL,house,25,Marco Montoya,0.18573759,,1,1
2014,JOHNSON,house,25,Marco Montoya,0.172679683,,1,1
2014,LAMPASAS,house,25,Marco Montoya,0.167115298,,1,1
2014,SOMERVELL,house,25,Marco Montoya,0.142790698,,1,1
2014,TARRANT,house,25,Marco Montoya,0.229595222,,1,1
2014,TRAVIS,house,25,Marco Montoya,0.554806665,,1,1
2014,ARANSAS,house,27,Wesley Reed,0.242916379,,1,0
2014,BASTROP,house,27,Wesley Reed,0.359268099,,,0
2014,CALDWELL,house,27,Wesley Reed,0.34452847,,,0
2014,CALHOUN,house,27,Wesley Reed,0.309354347,,,0
2014,GONZALES,house,27,Wesley Reed,0.238279737,,,0
2014,JACKSON,house,27,Wesley Reed,0.158645276,,,0
2014,LAVACA,house,27,Wesley Reed,0.144672131,,,0
2014,MATAGORDA,house,27,Wesley Reed,0.296169325,,,0
2014,NUECES,house,27,Wesley Reed,0.449456522,,,0
2014,REFUGIO,house,27,Wesley Reed,0.378172589,,,0
2014,SAN PATRICIO,house,27,Wesley Reed,0.295654297,,,0
2014,VICTORIA,house,27,Wesley Reed,0.250678733,,,0
2014,WHARTON,house,27,Wesley Reed,0.227379626,,,0
2014,BELL,house,31,Mike Clark,0.352228051,1,1,0
2014,WILLIAMSON,house,31,Mike Clark,0.398998695,1,1,0
2014,DALLAS,house,30,Eddie Bernice Johnson,0.804178851,1,1,0
2016,UPSHUR,house,1,Shirley J McKellar,0.208278408,1,0,0
2016,WOOD,house,1,Shirley J McKellar,0.159633628,1,0,0
2016,AUSTIN,house,10,Tawana W. Cadien,0.162999323,1,0,1
2016,BASTROP,house,10,Tawana W. Cadien,0.38228515,1,0,1
2016,COLORADO,house,10,Tawana W. Cadien,0.220101623,1,0,1
2016,FAYETTE,house,10,Tawana W. Cadien,0.175766148,1,0,1
2016,HARRIS,house,10,Tawana W. Cadien,0.293275458,1,0,1
2016,LEE,house,10,Tawana W. Cadien,0.1975042,1,0,1
2016,TRAVIS,house,10,Tawana W. Cadien,0.63106861,1,0,1
2016,WALLER,house,10,Tawana W. Cadien,0.335676409,1,0,1
2016,WASHINGTON,house,10,Tawana W. Cadien,0.202772721,1,0,1
2014,BEXAR,house,35,Lloyd Doggett,0.662780952,1,1,0
2014,CALDWELL,house,35,Lloyd Doggett,0.568002041,1,1,0
2014,COMAL,house,35,Lloyd Doggett,0.332895231,1,1,0
2014,GUADALUPE,house,35,Lloyd Doggett,0.307745386,1,1,0
2014,HAYS,house,35,Lloyd Doggett,0.568370665,1,1,0
2014,TRAVIS,house,35,Lloyd Doggett,0.822905342,1,1,0
2014,AUSTIN,house,10,Tawana W. Cadien,0.136643297,1,0,0
2014,BASTROP,house,10,Tawana W. Cadien,0.374946004,1,0,0
2014,COLORADO,house,10,Tawana W. Cadien,0.197997548,1,0,0
2014,FAYETTE,house,10,Tawana W. Cadien,0.163796724,1,0,0
2014,HARRIS,house,10,Tawana W. Cadien,0.212395846,1,0,0
2014,LEE,house,10,Tawana W. Cadien,0.186516854,1,0,0
2014,TRAVIS,house,10,Tawana W. Cadien,0.579458275,1,0,0
2014,WALLER,house,10,Tawana W. Cadien,0.270303573,1,0,0
2014,WASHINGTON,house,10,Tawana W. Cadien,0.17711078,1,0,0
2016,ANDERSON,president,5,Hillary Clinton,0.2,1,0,0
2016,ANDREWS,president,11,Hillary Clinton,0.18,1,0,0
2016,ANGELINA,president,1,Hillary Clinton,0.26,1,0,0
2016,ARANSAS,president,27,Hillary Clinton,0.24,1,0,0
2016,ARCHER,president,13,Hillary Clinton,0.09,1,0,0
2016,ARMSTRONG,president,13,Hillary Clinton,0.07,1,0,0
2016,ATASCOSA,president,28,Hillary Clinton,0.35,1,0,0
2016,AUSTIN,president,10,Hillary Clinton,0.19,1,0,0
2016,BAILEY,president,19,Hillary Clinton,0.23,1,0,0
2016,BANDERA,president,21,Hillary Clinton,0.17,1,0,0
2016,BASTROP,president,10,Hillary Clinton,0.39,1,0,0
2016,BAYLOR,president,13,Hillary Clinton,0.13,1,0,0
2016,BEE,president,34,Hillary Clinton,0.42,1,0,0
2016,BELL,president,31,Hillary Clinton,0.42,1,0,0
2016,BEXAR,president,20,Hillary Clinton,0.57,1,0,0
2016,BLANCO,president,21,Hillary Clinton,0.23,1,0,0
2016,BORDEN,president,19,Hillary Clinton,0.09,1,0,0
2016,BOSQUE,president,25,Hillary Clinton,0.17,1,0,0
2016,BOWIE,president,4,Hillary Clinton,0.26,1,0,0
2016,BRAZORIA,president,22,Hillary Clinton,0.37,1,0,0
2016,BRAZOS,president,17,Hillary Clinton,0.37,1,0,0
2016,BREWSTER,president,23,Hillary Clinton,0.47,1,0,0
2016,BRISCOE,president,13,Hillary Clinton,0.13,1,0,0
2016,BROOKS,president,15,Hillary Clinton,0.76,1,0,0
2016,BROWN,president,11,Hillary Clinton,0.12,1,0,0
2016,BURLESON,president,17,Hillary Clinton,0.22,1,0,0
2016,BURNET,president,25,Hillary Clinton,0.21,1,0,0
2016,CALDWELL,president,27,Hillary Clinton,0.42,1,0,0
2016,CALHOUN,president,27,Hillary Clinton,0.31,1,0,0
2016,CALLAHAN,president,11,Hillary Clinton,0.1,1,0,0
2016,CAMERON,president,34,Hillary Clinton,0.67,1,0,0
2016,CAMP,president,4,Hillary Clinton,0.28,1,0,0
2016,CARSON,president,13,Hillary Clinton,0.09,1,0,0
2016,CASS,president,4,Hillary Clinton,0.2,1,0,0
2016,CASTRO,president,19,Hillary Clinton,0.27,1,0,0
2016,CHAMBERS,president,36,Hillary Clinton,0.18,1,0,0
2016,CHEROKEE,president,5,Hillary Clinton,0.21,1,0,0
2016,CHILDRESS,president,13,Hillary Clinton,0.12,1,0,0
2016,CLAY,president,13,Hillary Clinton,0.11,1,0,0
2016,COCHRAN,president,19,Hillary Clinton,0.22,1,0,0
2016,COKE,president,11,Hillary Clinton,0.1,1,0,0
2016,COLEMAN,president,11,Hillary Clinton,0.11,1,0,0
2016,COLLIN,president,3,Hillary Clinton,0.41,1,0,0
2016,COLLINGSWORTH,president,13,Hillary Clinton,0.13,1,0,0
2016,COLORADO,president,10,Hillary Clinton,0.24,1,0,0
2016,COMAL,president,21,Hillary Clinton,0.24,1,0,0
2016,COMANCHE,president,11,Hillary Clinton,0.15,1,0,0
2016,CONCHO,president,11,Hillary Clinton,0.14,1,0,0
2016,COOKE,president,13,Hillary Clinton,0.15,1,0,0
2016,CORYELL,president,25,Hillary Clinton,0.29,1,0,0
2016,COTTLE,president,13,Hillary Clinton,0.15,1,0,0
2016,CRANE,president,23,Hillary Clinton,0.22,1,0,0
2016,CROCKETT,president,23,Hillary Clinton,0.28,1,0,0
2016,CROSBY,president,19,Hillary Clinton,0.28,1,0,0
2016,CULBERSON,president,23,Hillary Clinton,0.62,1,0,0
2016,DALLAM,president,13,Hillary Clinton,0.15,1,0,0
2016,DALLAS,president,30,Hillary Clinton,0.64,1,0,0
2016,DAWSON,president,11,Hillary Clinton,0.24,1,0,0
2016,DEAF SMITH,president,13,Hillary Clinton,0.29,1,0,0
2016,DELTA,president,4,Hillary Clinton,0.18,1,0,0
2016,DENTON,president,26,Hillary Clinton,0.39,1,0,0
2016,DEWITT,president,34,Hillary Clinton,0.17,1,0,0
2016,DICKENS,president,13,Hillary Clinton,0.14,1,0,0
2016,DIMMIT,president,23,Hillary Clinton,0.69,1,0,0
2016,DONLEY,president,13,Hillary Clinton,0.13,1,0,0
2016,DUVAL,president,15,Hillary Clinton,0.68,1,0,0
2016,EASTLAND,president,11,Hillary Clinton,0.11,1,0,0
2016,ECTOR,president,11,Hillary Clinton,0.29,1,0,0
2016,EDWARDS,president,23,Hillary Clinton,0.29,1,0,0
2016,EL PASO,president,16,Hillary Clinton,0.73,1,0,0
2016,ELLIS,president,6,Hillary Clinton,0.27,1,0,0
2016,ERATH,president,11,Hillary Clinton,0.16,1,0,0
2016,FALLS,president,17,Hillary Clinton,0.33,1,0,0
2016,FANNIN,president,4,Hillary Clinton,0.18,1,0,0
2016,FAYETTE,president,10,Hillary Clinton,0.2,1,0,0
2016,FISHER,president,19,Hillary Clinton,0.24,1,0,0
2016,FLOYD,president,19,Hillary Clinton,0.23,1,0,0
2016,FOARD,president,13,Hillary Clinton,0.23,1,0,0
2016,FORT BEND,president,22,Hillary Clinton,0.53,1,0,0
2016,FRANKLIN,president,4,Hillary Clinton,0.16,1,0,0
2016,FREESTONE,president,17,Hillary Clinton,0.2,1,0,0
2016,FRIO,president,23,Hillary Clinton,0.57,1,0,0
2016,GAINES,president,19,Hillary Clinton,0.13,1,0,0
2016,GALVESTON,president,14,Hillary Clinton,0.37,1,0,0
2016,GARZA,president,19,Hillary Clinton,0.16,1,0,0
2016,GILLESPIE,president,21,Hillary Clinton,0.18,1,0,0
2016,GLASSCOCK,president,11,Hillary Clinton,0.06,1,0,0
2016,GOLIAD,president,34,Hillary Clinton,0.27,1,0,0
2016,GONZALES,president,27,Hillary Clinton,0.26,1,0,0
2016,GRAY,president,13,Hillary Clinton,0.1,1,0,0
2016,GRAYSON,president,4,Hillary Clinton,0.23,1,0,0
2016,GREGG,president,1,Hillary Clinton,0.29,1,0,0
2016,GRIMES,president,8,Hillary Clinton,0.24,1,0,0
2016,GUADALUPE,president,15,Hillary Clinton,0.33,1,0,0
2016,HALE,president,19,Hillary Clinton,0.25,1,0,0
2016,HALL,president,13,Hillary Clinton,0.16,1,0,0
2016,HAMILTON,president,25,Hillary Clinton,0.14,1,0,0
2016,HANSFORD,president,13,Hillary Clinton,0.09,1,0,0
2016,HARDEMAN,president,13,Hillary Clinton,0.17,1,0,0
2016,HARDIN,president,36,Hillary Clinton,0.12,1,0,0
2016,HARRIS,president,2,Hillary Clinton,0.56,1,0,0
2016,HARRISON,president,1,Hillary Clinton,0.28,1,0,0
2016,HARTLEY,president,13,Hillary Clinton,0.09,1,0,0
2016,HASKELL,president,19,Hillary Clinton,0.18,1,0,0
2016,HAYS,president,35,Hillary Clinton,0.5,1,0,0
2016,HEMPHILL,president,13,Hillary Clinton,0.11,1,0,0
2016,HENDERSON,president,5,Hillary Clinton,0.19,1,0,0
2016,HIDALGO,president,15,Hillary Clinton,0.71,1,0,0
2016,HILL,president,25,Hillary Clinton,0.2,1,0,0
2016,HOCKLEY,president,19,Hillary Clinton,0.18,1,0,0
2016,HOOD,president,11,Hillary Clinton,0.16,1,0,0
2016,HOPKINS,president,4,Hillary Clinton,0.19,1,0,0
2016,HOUSTON,president,8,Hillary Clinton,0.24,1,0,0
2016,HOWARD,president,19,Hillary Clinton,0.21,1,0,0
2016,HUDSPETH,president,23,Hillary Clinton,0.39,1,0,0
2016,HUNT,president,4,Hillary Clinton,0.21,1,0,0
2016,HUTCHINSON,president,13,Hillary Clinton,0.11,1,0,0
2016,IRION,president,11,Hillary Clinton,0.12,1,0,0
2016,JACK,president,13,Hillary Clinton,0.1,1,0,0
2016,JACKSON,president,27,Hillary Clinton,0.17,1,0,0
2016,JASPER,president,36,Hillary Clinton,0.2,1,0,0
2016,JEFF DAVIS,president,23,Hillary Clinton,0.38,1,0,0
2016,JEFFERSON,president,14,Hillary Clinton,0.5,1,0,0
2016,JIM HOGG,president,15,Hillary Clinton,0.79,1,0,0
2016,JIM WELLS,president,34,Hillary Clinton,0.55,1,0,0
2016,JOHNSON,president,25,Hillary Clinton,0.2,1,0,0
2016,JONES,president,19,Hillary Clinton,0.16,1,0,0
2016,KARNES,president,15,Hillary Clinton,0.28,1,0,0
2016,KAUFMAN,president,5,Hillary Clinton,0.26,1,0,0
2016,KENDALL,president,21,Hillary Clinton,0.19,1,0,0
2016,KENEDY,president,34,Hillary Clinton,0.54,1,0,0
2016,KENT,president,19,Hillary Clinton,0.14,1,0,0
2016,KERR,president,21,Hillary Clinton,0.21,1,0,0
2016,KIMBLE,president,11,Hillary Clinton,0.11,1,0,0
2016,KING,president,13,Hillary Clinton,0.03,1,0,0
2016,KINNEY,president,23,Hillary Clinton,0.33,1,0,0
2016,KLEBERG,president,34,Hillary Clinton,0.52,1,0,0
2016,KNOX,president,13,Hillary Clinton,0.19,1,0,0
2016,LAMAR,president,4,Hillary Clinton,0.2,1,0,0
2016,LAMB,president,19,Hillary Clinton,0.2,1,0,0
2016,LAMPASAS,president,25,Hillary Clinton,0.19,1,0,0
2016,LASALLE,president,23,Hillary Clinton,0.56,1,0,0
2016,LAVACA,president,27,Hillary Clinton,0.14,1,0,0
2016,LEE,president,10,Hillary Clinton,0.22,1,0,0
2016,LEON,president,17,Hillary Clinton,0.12,1,0,0
2016,LIBERTY,president,36,Hillary Clinton,0.2,1,0,0
2016,LIMESTONE,president,17,Hillary Clinton,0.23,1,0,0
2016,LIPSCOMB,president,13,Hillary Clinton,0.1,1,0,0
2016,LIVE OAK,president,15,Hillary Clinton,0.18,1,0,0
2016,LLANO,president,11,Hillary Clinton,0.18,1,0,0
2016,LOVING,president,23,Hillary Clinton,0.06,1,0,0
2016,LUBBOCK,president,19,Hillary Clinton,0.3,1,0,0
2016,LYNN,president,19,Hillary Clinton,0.21,1,0,0
2016,MADISON,president,8,Hillary Clinton,0.21,1,0,0
2016,MARION,president,4,Hillary Clinton,0.28,1,0,0
2016,MARTIN,president,11,Hillary Clinton,0.15,1,0,0
2016,MASON,president,11,Hillary Clinton,0.18,1,0,0
2016,MATAGORDA,president,27,Hillary Clinton,0.29,1,0,0
2016,MAVERICK,president,23,Hillary Clinton,0.79,1,0,0
2016,MCCULLOCH,president,11,Hillary Clinton,0.16,1,0,0
2016,MCLENNAN,president,17,Hillary Clinton,0.36,1,0,0
2016,MCMULLEN,president,28,Hillary Clinton,0.08,1,0,0
2016,MEDINA,president,23,Hillary Clinton,0.28,1,0,0
2016,MENARD,president,11,Hillary Clinton,0.18,1,0,0
2016,MIDLAND,president,11,Hillary Clinton,0.21,1,0,0
2016,MILAM,president,17,Hillary Clinton,0.24,1,0,0
2016,MILLS,president,11,Hillary Clinton,0.11,1,0,0
2016,MITCHELL,president,11,Hillary Clinton,0.17,1,0,0
2016,MONTAGUE,president,13,Hillary Clinton,0.11,1,0,0
2016,MONTGOMERY,president,8,Hillary Clinton,0.23,1,0,0
2016,MOORE,president,13,Hillary Clinton,0.22,1,0,0
2016,MORRIS,president,4,Hillary Clinton,0.29,1,0,0
2016,MOTLEY,president,13,Hillary Clinton,0.07,1,0,0
2016,NACOGDOCHES,president,1,Hillary Clinton,0.32,1,0,0
2016,NAVARRO,president,6,Hillary Clinton,0.25,1,0,0
2016,NEWTON,president,36,Hillary Clinton,0.21,1,0,0
2016,NOLAN,president,19,Hillary Clinton,0.22,1,0,0
2016,NUECES,president,27,Hillary Clinton,0.49,1,0,0
2016,OCHILTREE,president,13,Hillary Clinton,0.09,1,0,0
2016,OLDHAM,president,13,Hillary Clinton,0.08,1,0,0
